PRODUCE,COST PER POUND,POUNDS SOLD,TOTAL
Potatoes,0.86,21.6,18.58
Okra,2.26,38.6,87.24
Fava beans,2.69,32.8,88.23
Watermelon,0.66,27.3,18.02
Garlic,1.19,4.9,5.83
Parsnips,2.27,1.1,2.5
Asparagus,2.49,37.9,94.37
Avocados,3.23,9.2,29.72
Celery,3.07,28.9,88.72
Okra,2.26,40,90.4
Spinach,4.12,30,123.6
Cucumber,1.07,36,38.52
Apricots,3.71,29.4,109.07
Okra,2.26,9.5,21.47
Fava beans,2.69,5.3,14.26
Watermelon,0.66,35.4,23.36
Ginger,5.13,14.4,73.87
Corn,1.07,12.2,13.05
Grapefruit,0.76,35.7,27.13
Ginger,5.13,15.2,77.98
Eggplant,2.32,5,11.6
Cucumber,1.07,31.8,34.03
Green cabbage,0.8,2.8,2.24
Eggplant,2.32,32.8,76.1
Yellow peppers,2.87,26.5,76.06
Garlic,1.19,38.2,45.46
Grapes,2.63,17.4,45.76
Watermelon,0.66,7.3,4.82
Cherries,9.5,25.6,243.2
Apples,1.88,6.1,11.47
Grapefruit,0.76,21.1,16.04
Grapes,2.63,4.6,12.1
Green beans,2.52,31.1,78.37
Tomatoes,3.16,20.9,66.04
Apricots,3.71,7,25.97
Red onion,0.78,34.1,26.6
Strawberries,4.4,18.5,81.4
Grapes,2.63,39.3,103.36
